Account,date,daily_pnl,trade_count,avg_trade_size,sentiment_value,sentiment_class,win_rate,buy_sell_ratio
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-25,271.2468,99,434.25668,73.0,Greed,0.30303030303030304,0.7068965517241379
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-26,9136.439,160,875.6657,79.0,Extreme Greed,0.35,0.40350877192982454
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-27,1473.2451,115,439.5926,74.0,Greed,0.6086956521739131,1.5555555555555556
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-28,74.156746,43,286.27118,72.0,Greed,0.23255813953488372,0.30303030303030304
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-29,1609.6792,92,473.0703,73.0,Greed,0.42391304347826086,1.0909090909090908
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-30,240.74916,59,530.9595,65.0,Greed,0.5084745762711864,1.565217391304348
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-31,97.68817,99,541.9542,64.0,Greed,0.0707070707070707,0.5230769230769231
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-01,17.784697,16,632.90125,66.0,Greed,0.1875,1.2857142857142858
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-02,677.27673,90,548.5241,70.0,Greed,0.4777777777777778,0.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-03,846.6558,102,321.57547,74.0,Greed,0.23529411764705882,1.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-04,73.451675,57,628.70807,73.0,Greed,0.2631578947368421,0.5405405405405406
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-05,8.594751,38,439.96738,72.0,Greed,0.10526315789473684,0.02702702702702703
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-06,559.6439,84,414.94604,76.0,Extreme Greed,0.20238095238095238,0.47368421052631576
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-07,289.25787,40,1311.9847,78.0,Extreme Greed,0.775,3.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-08,1377.9896,187,524.9171,70.0,Greed,0.3155080213903743,2.0161290322580645
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-09,279.58792,95,498.55222,69.0,Greed,0.18947368421052632,0.9
